gene_id	HER2.1	HER2.2	HER2.3	NBS1	NBS2	NBS3	Non.TNBC1	Non.TNBC2	Non.TNBC3	TNBC1	TNBC2	TNBC3
ENSG00000000003	177	294	237	831	780	874	373	172	72	163	60	140
ENSG00000000005	1	1	2	18	36	20	0	8	6	4	0	7
ENSG00000000419	238	1054	261	433	365	375	1059	269	385	371	58	229
ENSG00000000457	199	378	272	154	115	116	338	221	320	234	52	207
ENSG00000000460	171	405	224	100	91	98	335	163	200	221	29	138
ENSG00000000938	63	19	84	95	160	133	70	31	28	60	16	46
ENSG00000000971	59	20	72	26	70	44	50	38	43	54	3	79
ENSG00000001036	183	194	243	653	472	567	842	155	221	126	61	216
ENSG00000001084	209	509	133	422	445	512	329	248	241	392	66	178
ENSG00000001167	179	781	192	488	620	1132	237	172	213	311	78	139
ENSG00000001460	28	60	35	105	88	113	222	76	86	74	12	103
ENSG00000001461	157	375	173	380	324	284	1941	501	566	257	99	316
ENSG00000001497	181	286	174	533	425	572	321	227	281	380	71	168
ENSG00000001561	153	156	193	119	247	280	962	146	312	134	34	163
ENSG00000001617	117	108	117	530	366	378	343	311	311	97	46	135
ENSG00000001626	7	3	54	43	11	16	4	9	7	32	1	46
ENSG00000001629	686	1064	1380	445	785	873	2180	810	775	1006	297	674
ENSG00000001630	32	46	83	108	132	120	70	56	64	48	12	47
ENSG00000001631	156	337	413	49	55	76	190	133	142	183	39	90
ENSG00000002016	49	174	56	76	93	68	64	54	74	103	12	46
ENSG00000002079	5	11	7	1	3	1	9	12	14	46	1	59
ENSG00000002330	42	52	68	306	284	190	246	119	132	56	21	51
ENSG00000002549	558	498	775	1129	1353	978	1547	707	696	1886	167	642
ENSG00000002586	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002586.20_PAR_Y	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002587	40	8	33	55	77	92	121	23	21	35	7	34
ENSG00000002726	3	7	4	2	5	6	5	4	15	33	0	37
ENSG00000002745	3	2	4	1	2	3	3	4	4	10	0	12
ENSG00000002746	1	2	4	16	6	18	13	20	19	45	7	105
ENSG00000002822	13	14	8	3	5	4	10	11	9	28	3	16
ENSG00000002834	3673	674	596	2905	2677	3125	1175	1606	1517	877	183	2621
ENSG00000002919	69	92	59	201	223	238	373	240	191	166	41	103
ENSG00000002933	81	177	146	599	502	603	153	42	66	130	27	86
ENSG00000003056	307	398	424	928	693	911	561	380	376	526	151	267
ENSG00000003096	34	73	9	481	267	551	58	20	65	56	13	23
ENSG00000003137	13	153	13	49	60	88	23	17	18	44	9	17
ENSG00000003147	141	56	203	677	802	658	582	274	191	115	60	82
ENSG00000003249	72	82	66	397	293	222	108	96	56	124	119	68
ENSG00000003393	312	514	311	188	304	405	553	355	313	232	54	355
ENSG00000003400	176	152	236	107	152	184	124	37	84	109	11	82
ENSG00000003402	1116	944	888	1189	4861	4084	1277	658	586	810	124	577
ENSG00000003436	651	111	162	618	1544	2054	419	129	196	86	12	485
ENSG00000003509	125	240	138	168	196	241	249	84	131	146	22	73
ENSG00000003756	679	534	729	702	1319	954	565	581	496	362	111	268
ENSG00000003987	75	186	50	65	55	90	368	140	129	37	1	40
ENSG00000003989	339	13	109	3029	3132	4212	2423	2852	1514	59	6	86
ENSG00000004059	174	301	101	899	740	534	790	310	299	257	157	219
ENSG00000004139	127	83	343	220	305	415	566	188	234	89	30	666
ENSG00000004142	297	702	769	955	990	819	1317	426	528	299	103	837
ENSG00000004399	402	880	913	671	1088	1184	321	430	386	351	119	364
ENSG00000004455	455	1775	770	1479	1362	1140	2376	633	651	1225	170	465
